table,capability,cols,fk_out,fk_in,policies,triggers,create_migration,veredicto_uso,confianza,archivo_clave,referencias_prod,referencias_mock,notas,db_comment,decision,owner
inventario_reparaciones,inventario/lutería,13,1,1,4,2,,CABLEADA-SIN-DATOS,alta,src/modules/inventario/api/inventarioSupabase.js,src/modules/inventario/api/inventarioSupabase.js; src/modules/inventario/20260622_inventario_patch_compatibilidad.sql (RPC: cambiar_estado_reparacion); src/modules/inventario/api/inventarioSupabase.js (RPC: cambiar_estado_reparacion); src/modules/inventario/api/inventarioSupabase.js (RPC: crear_reparacion); src/modules/inventario/api/inventarioSupabase.js (RPC: generar_reporte_inventario); src/modules/inventario/api/inventarioSupabase.js (RPC: obtener_kpi_inventario); src/modules/inventario/auditoria_esquema_inventario_agente.md (RPC: obtener_kpi_inventario); src/modules/periodos/api/reporteCierreApi.js (RPC: fn_reporte_cierre_semestre); src/modules/periodos/services/pdfCierreSemestre.js (RPC: fn_reporte_cierre_semestre); src/modules/periodos/services/__tests__/pdfCierreSemestre.test.js (RPC: fn_reporte_cierre_semestre),src/modules/periodos/services/__tests__/pdfCierreSemestre.test.js,Módulo de reparaciones de inventario implementado con RPCs pero sin registros cargados.,Reparaciones de instrumentos. estado: recibido->en_reparacion->finalizado->entregado.,Terminar,LUT
lut_diagnosticos,lutería,18,1,0,1,1,20260627_luteria_taller_schema.sql,CABLEADA-SIN-DATOS,alta,src/modules/luteria/components/luteriaDiagnosticoWizard.js,src/modules/luteria/components/luteriaDiagnosticoWizard.js; src/modules/luteria-taller/api/luteriaTallerSupabase.js; src/modules/luteria/components/luteriaDiagnosticoWizard.js (RPC: fn_lut_upsert_diagnostico),,Módulo de taller de lutería implementado en API/vistas pero nunca poblado en producción.,,Terminar,LUT
lut_evidencias,lutería,10,1,0,1,0,20260627_luteria_taller_schema.sql,CABLEADA-SIN-DATOS,alta,src/modules/luteria-taller/api/luteriaTallerSupabase.js,src/modules/luteria-taller/api/luteriaTallerSupabase.js,,Módulo de taller de lutería implementado en API/vistas pero nunca poblado en producción.,,Terminar,LUT
lut_insumos,lutería,11,0,2,1,0,20260627_luteria_taller_schema.sql,CABLEADA-SIN-DATOS,alta,src/modules/luteria/views/luteriaInsumosView.js,src/modules/luteria/views/luteriaInsumosView.js; src/modules/luteria-taller/api/luteriaTallerSupabase.js,,Módulo de taller de lutería implementado en API/vistas pero nunca poblado en producción.,,Terminar,LUT
lut_movimientos_insumos,lutería,8,2,0,1,0,20260627_luteria_taller_schema.sql,CABLEADA-SIN-DATOS,alta,src/modules/luteria-taller/api/luteriaTallerSupabase.js,src/modules/luteria-taller/api/luteriaTallerSupabase.js,,Módulo de taller de lutería implementado en API/vistas pero nunca poblado en producción.,,Terminar,LUT
lut_presupuestos,lutería,15,1,0,1,0,20260627_luteria_taller_schema.sql,CABLEADA-SIN-DATOS,alta,src/modules/luteria-taller/api/luteriaTallerSupabase.js,src/modules/luteria-taller/api/luteriaTallerSupabase.js,,Módulo de taller de lutería implementado en API/vistas pero nunca poblado en producción.,,Terminar,LUT
lut_solicitudes_compra,lutería,14,2,0,1,0,20260627_luteria_taller_schema.sql,CABLEADA-SIN-DATOS,alta,src/modules/luteria-taller/api/luteriaTallerSupabase.js,src/modules/luteria-taller/api/luteriaTallerSupabase.js,,Módulo de taller de lutería implementado en API/vistas pero nunca poblado en producción.,,Terminar,LUT
maestro_access_credentials,operaciones/reportes,9,2,0,1,1,20260804000005_maestro_access_credentials.sql,ACTIVA,alta,supabase/functions/maestro-credentials/index.ts,src/modules/maestros/api/maestrosApi.js; supabase/functions/maestro-credentials/index.ts; src/modules/maestros/api/maestrosApi.js (RPC: eliminar_maestro_limpio),,Credenciales de acceso de maestros en Edge Function y maestrosApi.js.,Vault cifrado de contrasenas recuperables del portal maestro.,Terminar,INFRA
maestro_retiros,operaciones/reportes,7,3,0,1,0,20260822000001_safe_teacher_retirement.sql,ACTIVA,alta,src/modules/maestros/api/maestrosApi.js,src/modules/maestros/api/maestrosApi.js (RPC: retirar_maestro_seguro); src/modules/maestros/api/maestrosApi.js (RPC: eliminar_maestro_limpio),,Operada por RPCs retirar_maestro_seguro y eliminar_maestro_limpio en maestrosApi.js.,,Terminar,ACM/DIR
maestro_tareas,operaciones/reportes,8,2,0,2,0,portal-maestros-tables.sql (sin fecha),CABLEADA-SIN-DATOS,alta,src/portal-maestros/components/tareasPanel.js,src/portal-maestros/components/tareasPanel.js,src/core/utils/loadJsonMock.js,Feature de notificaciones/tareas docentes cableada en servicios pero sin uso activo.,,Terminar,ACM
mapa_plantillas,académico,10,3,0,2,1,,CABLEADA-SIN-DATOS,alta,funciones curriculares BD,,,"Esquema curricular legacy con funciones/vistas en BD (clonar_plantilla_a_clase), pero sin llamadas desde código PROD.",,Archivar,ACM
mensajes_internos,alianzas/comunicaciones,10,2,0,2,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,alianzas/comunicaciones
minutas,alianzas/comunicaciones,12,1,1,4,0,,HUÉRFANA,alta,sin migración versionada,,,Sin referencias en código ni DB; referenciada por FK entrante: tareas_institucionales.minuta_id.,,Eliminar,alianzas/comunicaciones
node_resources,académico,10,1,0,2,0,010_node_resources_schema.sql,CABLEADA-SIN-DATOS,alta,src/modules/academic-admin/api/academicAdminApi.js,src/modules/academic-admin/api/academicAdminApi.js,,Estructura curricular de contenidos y rutas cableada en APIs pero sin datos cargados.,,Terminar,ACM
notificaciones_asistencia,protección/seguimiento,21,0,0,3,1,020_notificaciones_asistencia.sql,CABLEADA-SIN-DATOS,alta,src/modules/metricas/services/attendanceNotificationService.js,src/modules/metricas/services/attendanceNotificationService.js,src/modules/metricas/__tests__/attendanceNotificationService.test.js,Feature de notificaciones/tareas docentes cableada en servicios pero sin uso activo.,,Terminar,ACM
notificaciones_caja,finanzas,17,3,0,5,0,,CABLEADA-SIN-DATOS,alta,fn_verificar_stock_minimo,,,"Nombrada en manifiesto de finanzas y RPCs de hermes/caja en BD, pero sin consultas directas desde UI.",,Terminar,FIN
observaciones_alumnos,protección/seguimiento,18,4,0,8,2,schema_reference.sql (sin fecha),ACTIVA,alta,src/modules/pedagogico/services/studentRiskDetectorService.js,src/modules/admin-dashboard/api/academicReportsApi.js; src/modules/asistencias/api/asistenciasSupabase.js; src/modules/config/views/exportView.js; src/modules/observaciones/api/observacionesApi.js; src/modules/pedagogico/services/studentRiskDetectorService.js; src/modules/pedagogico/views/seguimientoAlumnosView.js; src/modules/pedagogico/views/studentPedagogicalProfileView.js; src/modules/progresos/repositories/observacionesRepo.js; src/portal-maestros/services/claseAnalysisService.js; src/portal-maestros/services/observationPromotionService.js; src/portal-maestros/services/syncManager.js; src/modules/admin-dashboard/api/academicReportsApi.js (RPC: get_resumen_academico_mensual); src/modules/admin-dashboard/views/reporteMensualView.js (RPC: get_resumen_academico_mensual); src/modules/admin-dashboard/api/academicReportsApi.js (RPC: get_informe_academico_semestral); src/modules/admin-dashboard/views/reporteSemestralView.js (RPC: get_informe_academico_semestral); src/modules/pedagogico/services/seguimientoAlumnosService.js (RPC: analizar_seguimiento_alumnos); src/modules/pedagogico/services/seguimientoAlumnosService.test.js (RPC: analizar_seguimiento_alumnos); src/modules/pedagogico/services/studentRiskDetectorService.test.js (RPC: analizar_seguimiento_alumnos),src/modules/observaciones/__tests__/observacionesApi.promoteObservations.integration.test.js; src/portal-maestros/services/__tests__/observationPromotionService.offline.test.js,"Referenciada en 11 archivos de producción y 4 vistas de BD (alertas, rendimiento, resumen alumno).",,Terminar,ACM
patrocinantes,alianzas/comunicaciones,9,0,1,2,0,,ACTIVA,alta,src/portales/fin/src/context/FinanceContext.tsx,src/portales/fin/src/context/FinanceContext.tsx,,Consultada por FinanceContext vía supabaseRest en cada sesión del portal de Finanzas.,,Terminar,FIN
patrocinios,alianzas/comunicaciones,10,3,0,2,0,,ACTIVA,alta,src/portales/fin/src/context/FinanceContext.tsx,src/portales/fin/src/context/FinanceContext.tsx,,Consultada por FinanceContext vía supabaseRest en cada sesión del portal de Finanzas.,,Terminar,FIN
planificacion,académico,14,0,0,3,0,schema_reference.sql (sin fecha),SOLO-MOCK,alta,src/modules/planificacion/api/planificacionMock.js,,src/assets/data/mocks/curriculoTresPlanosStore.js; src/assets/data/mocks/permisos.json; src/core/utils/loadJsonMock.js; src/modules/asistencias/api/mocks/asistenciasMock.js; src/modules/planificacion/api/planificacionMock.js; src/modules/planificacion/api/plantillasPlanificacionMock.js; src/core/auth/__tests__/accessControl.test.js; src/core/router/__tests__/router.test.js; src/modules/admin-dashboard/api/__tests__/indiceEnsenanzaGuiadaApi.test.js; src/modules/admin-dashboard/views/__tests__/indiceEnsenanzaGuiadaWidget.test.js; src/modules/planificacion/utils/planificacionExportUtils.test.js; src/modules/planificacion/__tests__/claseObjetivosService.test.js; src/modules/planificacion/__tests__/historialContenidosPanel.test.js; src/modules/planificacion/__tests__/index.exports.test.js; src/modules/planificacion/__tests__/planificacion.adapter.test.js; src/modules/planificacion/__tests__/planificacion.model.test.js; src/modules/planificacion/__tests__/planificacion.router.claseRoute.test.js; src/modules/planificacion/__tests__/planificacionSupabase.bridge.test.js; src/modules/planificacion/__tests__/useClasePlanificacion.test.js; src/modules/__tests__/lint-fixes-verification.test.js; src/portal-maestros/router/__tests__/portalRouter.test.js; src/portal-maestros/services/__tests__/migration.vwIndiceEnsenanzaGuiada.test.js; src/portal-maestros/shell/__tests__/portalRoutes.security.test.js; src/portal-maestros/utils/planificacionRouteStatus.test.js; src/portales/_shared/__tests__/departmentPortalProfiles.contract.test.js; src/__tests__/permisoService.test.js; src/__tests__/permisosMock.test.js; src/__tests__/permissionRouteGuard.test.js; tests/integration/curriculo-tres-planos/flujoCompletoDom.e2e.test.js; tests/integration/curriculo-tres-planos/proponerYPublicar.flow.test.js; tests/modules/planificacion/claseEmergenteModal.test.js; tests/modules/planificacion/dslParser.test.js; tests/modules/planificacion/rutas.integration.test.js; tests/modules/planificacion/uploadReviewModal.test.js; tests/portal-maestros/hoyViewEmergente.test.js; tests/unit/migrations/curriculo_tres_planos_rls_admin_update.test.js,Gen-1 plano. En código solo mocks/tests la nombran; hits PROD son el nombre del módulo/router.,,Eliminar,ACM
planificacion_nodos,académico,12,1,1,1,0,portal-maestros-tables.sql (sin fecha),SOLO-MOCK,alta,src/modules/planificacion/__tests__/migration.modificaciones.test.js,,src/modules/planificacion/__tests__/migration.modificaciones.test.js,Solo nombrada en un test unitario de migración; sin uso PROD ni mock.,DEPRECATED: usar routes hierarchy,Eliminar,ACM
planned_content,académico,8,3,0,5,0,20260510_create_planned_content.sql,CABLEADA-SIN-DATOS,alta,src/portal-maestros/services/rutaGameificadaService.js,src/portal-maestros/services/rutaGameificadaService.js,,"Servicio implementado para planificación pedagógica / casos, pero la feature no se ha puesto en uso.",Planificacion diaria de contenido por sesion de clase.,Terminar,ACM
planning_documents,académico,10,2,0,5,0,012_planning_documents.sql,CABLEADA-SIN-DATOS,alta,src/portal-maestros/services/planningDocService.js,src/portal-maestros/services/planningDocService.js,,"Servicio implementado para planificación pedagógica / casos, pero la feature no se ha puesto en uso.",,Terminar,ACM
prospeccion_log,alianzas/comunicaciones,10,0,0,2,0,20260626_campanias_marketing.sql,HUÉRFANA,alta,20260626_campanias_marketing.sql,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,alianzas/comunicaciones
protocolos,operaciones/reportes,8,0,0,2,0,,CABLEADA-SIN-DATOS,media,fn_listar_protocolos,,,"Existen stored procedures en BD (fn_listar_protocolos, etc.) pero el frontend solo usa el string ""protocolos"" como tab de UI.",,Archivar,DIR/HERMES
rachas,protección/seguimiento,5,1,0,2,0,schema_reference.sql (sin fecha),CABLEADA-SIN-DATOS,media,scripts/reset_produccion_periodo_20260810.js,scripts/reset_produccion_periodo_20260810.js,,Solo nombrada en script de reset de período 20260810; sin uso activo en la aplicación.,,Archivar,ACM
repertoire_fragments,académico,7,1,0,2,0,20260622_audiciones_integration_fixes.sql,HUÉRFANA,alta,20260622_audiciones_integration_fixes.sql,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,académico
retenciones_instrumento,protección/seguimiento,17,4,0,2,2,20260904023143_seguimiento_ausentes_foundation.sql,ACTIVA,alta,src/modules/pedagogico/services/seguimientoAusentesService.js,src/modules/pedagogico/services/seguimientoAusentesService.js,tests/unit/pedagogico/services/seguimientoAusentesService.crud.test.js,Módulo activo de ausentismo (migración 2026-09-04); enlazada en vista vw_seguimiento_ausentes.,Retencion temporal del instrumento de un alumno por ausentismo (nivel 3).,Terminar,LUT/DIR
ruta_contenido_objetivos,académico,8,2,1,3,0,20260530_create_rutas_contenido.sql,CABLEADA-SIN-DATOS,alta,src/modules/planificacion/api/rutasApi.js,src/modules/planificacion/api/rutasApi.js,src/modules/planificacion/__tests__/rutas.api.test.js,Estructura curricular de contenidos y rutas cableada en APIs pero sin datos cargados.,,Terminar,ACM
rutas_contenido,académico,14,3,3,3,0,20260530_create_rutas_contenido.sql,CABLEADA-SIN-DATOS,alta,src/modules/planificacion/api/rutasApi.js,src/modules/planificacion/api/rutasApi.js,src/modules/planificacion/__tests__/rutas.api.test.js,Estructura curricular de contenidos y rutas cableada en APIs pero sin datos cargados.,,Terminar,ACM
schedule_run_feedback,académico/operaciones,6,2,0,3,0,20260525_horario_schedule_run_feedback.sql,CABLEADA-SIN-DATOS,alta,src/modules/horario-builder/api/scheduleFeedbackApi.js,src/modules/horario-builder/api/scheduleFeedbackApi.js,src/modules/horario-builder/__tests__/scheduleFeedbackApi.test.js,Motor de generación de horarios cableado en horarioBuilderApi pero nunca ejecutado/poblado en prod.,,Archivar,ACM
schedule_runs,académico/operaciones,8,0,1,1,0,20260524_schedule_runs.sql,CABLEADA-SIN-DATOS,alta,scripts/check-schedule-runs.js,scripts/check-schedule-runs.js; src/modules/horario-builder/api/horarioBuilderApi.js; src/modules/horario-builder/api/scheduleFeedbackApi.js,src/modules/horario-builder/__tests__/scheduleFeedbackApi.test.js,Motor de generación de horarios cableado en horarioBuilderApi pero nunca ejecutado/poblado en prod.,,Archivar,ACM
score_compromiso,protección/seguimiento,13,2,0,1,0,,CABLEADA-SIN-DATOS,alta,vw_estado_familiar,,,"Enlazada en vistas activas (vw_estado_familiar, vw_mora_activa) y fn_calcular_score_representante, pero tabla nunca poblada.",,Terminar,FIN
seguimiento_ausencias_reinicio,protección/seguimiento,6,2,0,2,0,20260904120000_seguimiento_ausentes_reinicio_y_suspension.sql,ACTIVA,alta,src/modules/pedagogico/services/seguimientoAusentesService.js,src/modules/pedagogico/services/seguimientoAusentesService.js,tests/unit/pedagogico/services/seguimientoAusentesService.crud.test.js,Módulo activo de ausentismo (migración 2026-09-04); enlazada en vista vw_seguimiento_ausentes.,,Terminar,ACM/DIR
service_account_observations,operaciones/reportes,12,1,0,2,0,20260823230000_service_accounts_dashboard.sql,ACTIVA,alta,src/portales/fin/src/infrastructure/supabase/SupabaseServiceBalancesRepository.ts,src/portales/fin/src/infrastructure/supabase/CanonicalManifest.ts (RPC: fn_fin_service_dashboard); src/portales/fin/src/infrastructure/supabase/SupabaseServiceBalancesRepository.ts (RPC: fn_fin_service_dashboard); src/portales/fin/src/lib/supabaseManager.ts (RPC: fn_fin_service_dashboard),,Leída por fn_fin_service_dashboard() invocada por SupabaseServiceBalancesRepository en el panel Mi Día.,,Terminar,FIN
service_accounts,operaciones/reportes,12,0,1,3,0,20260823230000_service_accounts_dashboard.sql,ACTIVA,alta,src/portales/fin/src/infrastructure/supabase/SupabaseServiceBalancesRepository.ts,src/portales/fin/src/infrastructure/supabase/CanonicalManifest.ts (RPC: fn_fin_service_dashboard); src/portales/fin/src/infrastructure/supabase/SupabaseServiceBalancesRepository.ts (RPC: fn_fin_service_dashboard); src/portales/fin/src/lib/supabaseManager.ts (RPC: fn_fin_service_dashboard),,Leída por fn_fin_service_dashboard() invocada por SupabaseServiceBalancesRepository en el panel Mi Día.,,Terminar,FIN
sesion_bitacora,académico,14,3,0,2,1,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,académico
student_case_actions,protección/seguimiento,13,2,0,1,0,20260608_seguimiento_institucional.sql,CABLEADA-SIN-DATOS,alta,src/modules/pedagogico/services/studentCasesService.js,src/modules/pedagogico/services/studentCasesService.js,,"Servicio implementado para planificación pedagógica / casos, pero la feature no se ha puesto en uso.",,Terminar,ACM/DIR
student_indicator_progress,académico,10,3,0,1,0,20260629_acm_curriculum_governance.sql,CABLEADA-SIN-DATOS,alta,src/modules/academic-routes/services/academicService.js,src/modules/academic-routes/services/academicService.js; src/modules/bitacora/api/bitacoraSupabase.js; src/modules/planning/services/historialService.js; src/portal-maestros/views/gamificacionView.js,src/modules/academic-routes/services/__tests__/academicService.test.js,Sistema de bitácora y sesiones de indicadores cableado en planning/bitácora pero sin registros en prod.,,Terminar,ACM
tarea_logs,operaciones/reportes,6,2,0,2,0,,ACTIVA,alta,src/modules/calendario/api/calendarApi.js,src/modules/calendario/api/calendarApi.js (RPC: fn_actualizar_tarea),,Operada por RPCs de tareas y eventos de calendario en calendarApi.js y protegida por RLS.,,Terminar,DIR/COM
tareas_caja,finanzas,15,3,0,4,0,,CABLEADA-SIN-DATOS,alta,fn_escalar_mora,,,Referenciada en BD por fn_escalar_mora; sin consultas directas desde frontend.,,Terminar,FIN
tareas_calendario,académico/operaciones,12,3,1,3,0,,ACTIVA,alta,src/modules/calendario/api/calendarApi.js,src/modules/calendario/api/calendarApi.js (RPC: fn_obtener_tareas_departamento); src/modules/calendario/api/calendarApi.js (RPC: fn_actualizar_tarea),,Operada por RPCs de tareas y eventos de calendario en calendarApi.js y protegida por RLS.,,Terminar,DIR/COM
tareas_portales,operaciones/reportes,26,0,0,1,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,operaciones/reportes
teacher_class_sessions,académico,11,4,3,1,0,20260629_acm_curriculum_governance.sql,HUÉRFANA,alta,20260629_acm_curriculum_governance.sql,,,"Sin referencias en código ni DB; referenciada por FK entrante: acm_evidence_files.session_id, teacher_session_indicators.session_id, student_indicator_progress.session_id.",,Terminar,ACM
teacher_session_indicators,académico,9,2,0,1,0,20260629_acm_curriculum_governance.sql,HUÉRFANA,alta,20260629_acm_curriculum_governance.sql,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Terminar,ACM
telegram_messages_raw,gateway/hermes,7,0,0,3,0,20260630_003_create_telegram_messages_raw.sql,ACTIVA,alta,supabase/functions/telegram-webhook/index.ts,supabase/functions/telegram-classifier-cron/index.ts; supabase/functions/telegram-webhook/index.ts,,Pipeline activo de ingesta Telegram: webhook recibe mensajes y cron clasificador los procesa.,,Terminar,INFRA
usuario_departamentos,operaciones/reportes,5,2,0,2,0,,ACTIVA,alta,src/modules/calendario/api/calendarApi.js,src/modules/calendario/api/calendarApi.js (RPC: fn_crear_evento_calendario); src/modules/calendario/api/calendarApi.js (RPC: fn_obtener_tareas_departamento); src/modules/calendario/api/calendarApi.js (RPC: fn_actualizar_tarea),supabase/tests/fn_hermes_resolver_caso.test.sql,Operada por RPCs de tareas y eventos de calendario en calendarApi.js y protegida por RLS.,,Terminar,DIR/INFRA
wallet_config,finanzas,8,1,0,1,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,finanzas
wallet_movimientos,finanzas,9,1,0,2,0,,ACTIVA,alta,src/portales/fin/src/context/FinanceContext.tsx,src/portales/fin/src/context/FinanceContext.tsx; src/portales/fin/README.md (RPC: fn_registrar_pago_transaccional); src/portales/fin/src/application/use-cases/receivables/__tests__/RegisterPaymentUseCase.test.ts (RPC: fn_registrar_pago_transaccional); src/portales/fin/src/context/FinanceContext.tsx (RPC: fn_registrar_pago_transaccional); src/portales/fin/src/infrastructure/supabase/CanonicalManifest.ts (RPC: fn_registrar_pago_transaccional); src/portales/fin/src/infrastructure/supabase/SupabaseAuthClient.ts (RPC: fn_registrar_pago_transaccional); src/portales/fin/src/infrastructure/supabase/SupabasePaymentTransactionAdapter.ts (RPC: fn_registrar_pago_transaccional); src/portales/fin/src/lib/supabaseManager.ts (RPC: fn_registrar_pago_transaccional),,Consultada por FinanceContext vía supabaseRest en cada sesión del portal de Finanzas.,,Terminar,FIN
whatsapp_consentimientos,gateway/hermes,11,1,0,1,0,20260626_gateway_subsistema4_numero_consentimiento.sql,ACTIVA,alta,src/modules/campanias/api/campaniasApi.js,supabase/functions/whatsapp-dispatcher/index.ts (RPC: fn_whatsapp_reclamar_pendientes),,Módulo activo de campañas WhatsApp en campaniasApi.js y edge functions de mensajería.,,Terminar,COM
whatsapp_optout,gateway/hermes,3,0,0,1,0,20260626_whatsapp_antiban_layer.sql,ACTIVA,alta,supabase/check-teacher-attendance.js,supabase/check-teacher-attendance.js; supabase/functions/event-spine-logger/handlers/r6-whatsapp-padres.ts; supabase/functions/event-spine-logger/handlers/r7-whatsapp-maestros.ts; supabase/functions/event-spine-logger/handlers/r8-whatsapp-tareas.ts; supabase/functions/whatsapp-webhook/index.ts; src/modules/campanias/api/campaniasApi.js (RPC: fn_encolar_campania); supabase/functions/whatsapp-webhook/index.ts (RPC: fn_whatsapp_optout); supabase/functions/whatsapp-dispatcher/index.ts (RPC: fn_whatsapp_reclamar_pendientes),tests/integration/soi-event-enrichment/r6-whatsapp-padres.test.ts; tests/integration/soi-event-enrichment/r7-whatsapp-maestros.test.ts; tests/integration/soi-event-enrichment/r8-whatsapp-tareas.test.ts,Módulo activo de campañas WhatsApp en campaniasApi.js y edge functions de mensajería.,,Terminar,COM
xp_log,protección/seguimiento,7,1,0,2,0,schema_reference.sql (sin fecha),HUÉRFANA,alta,schema_reference.sql (sin fecha),,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,protección/seguimiento
